datetime,open,high,low,close,volume
2026-02-09T00:00:00+00:00,332.26,352.23,330.64,342.37,59166
2026-02-12T00:00:00+00:00,342.37,346.04,324.55,325.34,63851
2026-02-15T00:00:00+00:00,325.34,335.64,316.24,332.57,18775
2026-02-18T00:00:00+00:00,332.57,339.95,327.44,332.75,61130
2026-02-21T00:00:00+00:00,332.75,338.32,325.19,330.29,16469
2026-02-24T00:00:00+00:00,330.29,335.77,307.87,321.5,59919
2026-02-27T00:00:00+00:00,321.5,321.5,309.87,319.65,17849
2026-03-02T00:00:00+00:00,319.65,322.45,307.08,317.39,73065
2026-03-05T00:00:00+00:00,317.39,343.41,317.39,330.69,83622
2026-03-08T00:00:00+00:00,330.69,352.93,323.69,342.73,56931
2026-03-11T00:00:00+00:00,342.73,345.69,321.34,322.28,74997
2026-03-14T00:00:00+00:00,322.28,329.09,320,324.86,29337
2026-03-17T00:00:00+00:00,324.86,327.25,308.44,320.09,153861
2026-03-20T00:00:00+00:00,320.09,321.29,309.78,310.82,63123
2026-03-23T00:00:00+00:00,310.82,326.36,310.82,318.75,173479
2026-03-26T00:00:00+00:00,318.75,318.75,298.79,300.77,168614
2026-03-29T00:00:00+00:00,300.77,310.2,289.88,309.43,133793
2026-04-01T00:00:00+00:00,309.43,315.67,301.67,314.48,137261
2026-04-04T00:00:00+00:00,314.48,316.17,310.05,314.2,30000
2026-04-07T00:00:00+00:00,314.2,358.52,314.2,354.75,215703
2026-04-10T00:00:00+00:00,354.75,376.47,354.75,371.47,68346
2026-04-13T00:00:00+00:00,371.47,397.01,369.41,396.73,77791
2026-04-16T00:00:00+00:00,396.73,406.66,392.28,406.56,66147
2026-04-19T00:00:00+00:00,406.56,406.56,394.48,402.34,67614
2026-04-22T00:00:00+00:00,402.34,429.22,402.34,422.39,92944
2026-04-25T00:00:00+00:00,422.39,422.45,414.45,418.24,19694
2026-04-28T00:00:00+00:00,418.24,418.24,394.57,417.46,87518
2026-05-01T00:00:00+00:00,417.46,423.08,413.29,421.39,33383
2026-05-04T00:00:00+00:00,421.39,437.44,409.45,425.37,92801
2026-05-07T00:00:00+00:00,425.37,434.87,406.23,429.93,55537
2026-05-10T00:00:00+00:00,429.93,433.45,408.33,419.36,37020
2026-05-13T00:00:00+00:00,419.36,442.23,404.72,425.61,64438
2026-05-16T00:00:00+00:00,425.61,425.61,414.26,420.57,14634
2026-05-19T00:00:00+00:00,420.57,423.89,405.78,414.63,46350
2026-05-22T00:00:00+00:00,414.63,419.57,410.13,413.99,14262
2026-05-25T00:00:00+00:00,413.99,435.14,413.99,422.19,30969
2026-05-28T00:00:00+00:00,422.19,448.64,413.94,446.91,62439
2026-05-31T00:00:00+00:00,446.91,488.61,442.77,481.87,45478
2026-06-03T00:00:00+00:00,481.87,494.62,385.58,386.2,128147
2026-06-06T00:00:00+00:00,386.2,402.41,386.2,396.83,27617
2026-06-09T00:00:00+00:00,396.83,407.71,370.24,385.58,81188
2026-06-12T00:00:00+00:00,385.58,385.58,376.92,381.86,47930
2026-06-15T00:00:00+00:00,381.86,400.48,376.44,392.9,136433
2026-06-18T00:00:00+00:00,392.9,412.6,392.9,410.75,89240
2026-06-21T00:00:00+00:00,410.75,414.18,377.09,380.15,54418
2026-06-24T00:00:00+00:00,380.15,388.53,363.71,364.2,130885
2026-06-27T00:00:00+00:00,364.2,376.03,360.4,372.28,41620
2026-06-30T00:00:00+00:00,372.28,379.49,356.33,360.27,105156
2026-07-06T00:00:00+00:00,360.27,394.89,360.27,388.39,158694
2026-07-09T00:00:00+00:00,388.39,407.44,387.85,399.99,74358
2026-07-12T00:00:00+00:00,399.99,399.99,383.43,389.06,86705
2026-07-15T00:00:00+00:00,389.06,398.77,357.69,370.83,95403
2026-07-18T00:00:00+00:00,370.83,383.5,370.83,378.11,15506
2026-07-21T00:00:00+00:00,378.11,398.47,378.11,392.45,46572
2026-07-24T00:00:00+00:00,392.45,392.45,378.67,382.17,21163
2026-07-27T00:00:00+00:00,382.17,389.2,369.43,370.01,56616
2026-07-30T00:00:00+00:00,370.01,399.61,370.01,388.9,35901
2026-08-02T00:00:00+00:00,388.9,421.92,374.54,418.16,57431
2026-08-05T00:00:00+00:00,418.16,430.73,410.69,424.59,42348
2026-08-08T00:00:00+00:00,427.37,432.51,420.17,422.8,15996
2026-08-11T00:00:00+00:00,422.8,425.94,411.45,417.76,45214
2026-08-14T00:00:00+00:00,417.76,417.76,388.44,392.91,39341
2026-08-17T00:00:00+00:00,392.91,399.21,357.53,362.29,81931
2026-08-20T00:00:00+00:00,362.29,374.93,362.15,368.4,46776
2026-08-23T00:00:00+00:00,368.4,368.4,355.83,356.71,40035
2026-08-26T00:00:00+00:00,356.39,376.38,350.62,368.54,38610
2026-08-29T00:00:00+00:00,368.54,372.33,366.22,370.41,20216
2026-09-01T00:00:00+00:00,370.41,371.2,361.94,369.49,21155
